snapshot_time,trip_id,stop_id,delay_sec
20260801_194017,4166466,1584,17.0
20260801_194017,4166466,1585,29.0
20260801_194017,4166466,1586,7.0
20260801_194017,4166466,1587,-4.0
20260801_194017,4166466,1588,-20.0
20260801_194017,4166466,1589,16.0
20260801_194017,4166466,1443,14.0
20260801_194017,4166466,1444,0.0
20260801_194017,4166466,3835,-26.0
20260801_194017,4166466,2327,-23.0
20260801_194017,4166466,3877,7.0
20260801_194017,4166466,1054,2.0
20260801_194017,4166466,3851,-19.0
20260801_194017,4166466,3806,-18.0
20260801_194017,4166466,1063,0.0
20260801_194017,4166465,1732,0.0
20260801_194017,4166465,1734,25.0
20260801_194017,4166465,1728,12.0
20260801_194017,4166465,3388,-30.0
20260801_194017,4166465,3888,0.0
20260801_194017,4166465,3525,5.0
20260801_194017,4166465,3562,27.0
20260801_194017,4166465,1630,0.0
20260801_194017,4166465,1631,-16.0
20260801_194017,4166465,1632,28.0
20260801_194017,4166465,1633,14.0
20260801_194017,4166465,4104,25.0
20260801_194017,4166465,3003,-27.0
20260801_194017,4166465,1584,17.0
20260801_194017,4166465,1585,29.0
20260801_194017,4166465,1586,7.0
20260801_194017,4166465,1587,-4.0
20260801_194017,4166465,1588,-20.0
20260801_194017,4166465,1589,16.0
20260801_194017,4166465,1443,14.0
20260801_194017,4166465,1444,0.0
20260801_194017,4166465,3835,-26.0
20260801_194017,4166465,2327,-23.0
20260801_194017,4166465,3877,7.0
20260801_194017,4166465,1054,2.0
20260801_194017,4166465,3851,-19.0
20260801_194017,4166465,3806,-18.0
20260801_194017,4166465,1063,0.0
20260801_194017,4166464,3003,257.0
20260801_194017,4166464,1584,285.0
20260801_194017,4166464,1585,297.0
20260801_194017,4166464,1586,275.0
20260801_194017,4166464,1587,264.0
20260801_194017,4166464,1588,248.0
20260801_194017,4166464,1589,284.0
20260801_194017,4166464,1443,265.0
20260801_194017,4166464,1444,251.0
20260801_194017,4166464,3835,225.0
20260801_194017,4166464,2327,228.0
20260801_194017,4166464,3877,258.0
20260801_194017,4166464,1054,253.0
20260801_194017,4166464,3851,232.0
20260801_194017,4166464,3806,233.0
20260801_194017,4166464,1063,318.0
20260801_194017,4168528,6023,125.0
20260801_194017,4168528,1459,119.0
20260801_194017,4168528,1486,142.0
20260801_194017,4168528,1426,124.0
20260801_194017,4168528,1427,134.0
20260801_194017,4168528,6020,95.0
20260801_194017,4168528,4158,-20.0
20260801_194017,4168528,6021,17.0
20260801_194017,4168528,3539,-6.0
20260801_194017,4168528,1460,28.0
20260801_194017,4168528,1461,-9.0
20260801_194017,4168528,1462,-25.0
20260801_194017,4168528,6022,-24.0
20260801_194017,4168528,1464,-16.0
20260801_194017,4168528,1465,19.0
20260801_194017,4168528,1466,-5.0
20260801_194017,4168528,1467,-17.0
20260801_194017,4168528,1511,0.0
20260801_194017,4168649,1732,0.0
20260801_194017,4168649,1734,25.0
20260801_194017,4168649,1728,13.0
20260801_194017,4168649,3802,-17.0
20260801_194017,4168649,3990,0.0
20260801_194017,4168649,3991,-13.0
20260801_194017,4168649,3992,19.0
20260801_194017,4168649,3993,12.0
20260801_194017,4168649,3994,-6.0
20260801_194017,4168649,3995,-12.0
20260801_194017,4168649,3996,0.0
20260801_194017,4168529,3411,0.0
20260801_194017,4168529,1265,-5.0
